date,grade9price,grade10price,adjclosestock,volume,adjclosebond,stockreturns,bondadjusted,excessreturns,adjclosestocklag1,adjclosebondlag1,volumelag1,adjclosestocklag2,adjclosebondlag2,volumelag2,adjclosestocklag3,adjclosebondlag3,volumelag3,adjclosestocklag4,adjclosebondlag4,volumelag4,adjclosestocklag5,adjclosebondlag5,volumelag5,adjclosestocklag6,adjclosebondlag6,volumelag6
2021-10-01,213.5,454.25,4605.3798828125,80253600000,1.9420000314712524,0.0691438364006065,0.0194200003147125,0.1408455455837334,4307.5400390625,2.0920000076293945,85528860000.0,4522.68017578125,1.9270000457763672,80500760000.0,4395.259765625,1.8969999551773071,84255620000.0,4297.5,2.065000057220459,102544180000.0,4204.10986328125,2.263000011444092,88321860000.0,4181.169921875,2.3010001182556152,83124090000.0
2021-11-01,208.208,442.19,4567.0,88268840000,1.7869999408721924,-0.0083337061847461,0.0178699994087219,0.0714809632731282,4605.3798828125,1.9420000314712524,80253600000.0,4307.5400390625,2.0920000076293945,85528860000.0,4522.68017578125,1.9270000457763672,80500760000.0,4395.259765625,1.8969999551773071,84255620000.0,4297.5,2.065000057220459,102544180000.0,4204.10986328125,2.263000011444092,88321860000.0
2021-12-01,204.3333333333333,440.5384615384616,4766.18017578125,92750180000,1.9049999713897705,0.0436129134620648,0.0190499997138977,-0.0224195624315746,4567.0,1.7869999408721924,88268840000.0,4605.3798828125,1.9420000314712524,80253600000.0,4307.5400390625,2.0920000076293945,85528860000.0,4522.68017578125,1.9270000457763672,80500760000.0,4395.259765625,1.8969999551773071,84255620000.0,4297.5,2.065000057220459,102544180000.0
2022-01-01,227.32615384615383,478.2296296296296,4515.5498046875,95562890000,2.0980000495910645,-0.0525851650273938,0.0209800004959106,-0.1538975435575063,4766.18017578125,1.9049999713897705,92750180000.0,4567.0,1.7869999408721924,88268840000.0,4605.3798828125,1.9420000314712524,80253600000.0,4307.5400390625,2.0920000076293945,85528860000.0,4522.68017578125,1.9270000457763672,80500760000.0,4395.259765625,1.8969999551773071,84255620000.0
2022-02-01,165.0,428.03,4373.93994140625,92667710000,2.181999921798706,-0.0313604919459082,0.021819999217987,-0.0713985616418622,4515.5498046875,2.0980000495910645,95562890000.0,4766.18017578125,1.9049999713897705,92750180000.0,4567.0,1.7869999408721924,88268840000.0,4605.3798828125,1.9420000314712524,80253600000.0,4307.5400390625,2.0920000076293945,85528860000.0,4522.68017578125,1.9270000457763672,80500760000.0
2022-03-01,165.0,415.0,4530.41015625,123546260000,2.447999954223633,0.0357732883715462,0.0244799995422363,-0.0861332386486988,4373.93994140625,2.181999921798706,92667710000.0,4515.5498046875,2.0980000495910645,95562890000.0,4766.18017578125,1.9049999713897705,92750180000.0,4567.0,1.7869999408721924,88268840000.0,4605.3798828125,1.9420000314712524,80253600000.0,4307.5400390625,2.0920000076293945,85528860000.0
2022-04-01,165.0,415.0,4131.93017578125,90367840000,2.947000026702881,-0.087956711804343,0.0294700002670288,-0.2917966145046283,4530.41015625,2.447999954223633,123546260000.0,4373.93994140625,2.181999921798706,92667710000.0,4515.5498046875,2.0980000495910645,95562890000.0,4766.18017578125,1.9049999713897705,92750180000.0,4567.0,1.7869999408721924,88268840000.0,4605.3798828125,1.9420000314712524,80253600000.0
2022-05-01,165.0,415.0,4132.14990234375,108860390000,3.056999921798706,5.317770464463578e-05,0.030569999217987,-0.0372728806934252,4131.93017578125,2.947000026702881,90367840000.0,4530.41015625,2.447999954223633,123546260000.0,4373.93994140625,2.181999921798706,92667710000.0,4515.5498046875,2.0980000495910645,95562890000.0,4766.18017578125,1.9049999713897705,92750180000.0,4567.0,1.7869999408721924,88268840000.0
2022-06-01,165.0,415.0,3785.3798828125,106116710000,3.11899995803833,-0.0839199999338268,0.0311899995803833,-0.1042013338643635,4132.14990234375,3.056999921798706,108860390000.0,4131.93017578125,2.947000026702881,90367840000.0,4530.41015625,2.447999954223633,123546260000.0,4373.93994140625,2.181999921798706,92667710000.0,4515.5498046875,2.0980000495910645,95562890000.0,4766.18017578125,1.9049999713897705,92750180000.0
2022-07-01,165.0,415.0,4130.2900390625,81688320000,2.9739999771118164,0.09111639173021,0.0297399997711181,0.137605645618405,3785.3798828125,3.11899995803833,106116710000.0,4132.14990234375,3.056999921798706,108860390000.0,4131.93017578125,2.947000026702881,90367840000.0,4530.41015625,2.447999954223633,123546260000.0,4373.93994140625,2.181999921798706,92667710000.0,4515.5498046875,2.0980000495910645,95562890000.0
