Date,Grade,Price
2017-02,10,151.0
2017-03,10,151.0
2017-04,10,151.0
2017-05,10,180.0
2017-06,10,207.5
2017-07,10,362.9
2017-08,10,434.9975
2017-09,10,420.0
2017-10,10,372.8333333333333
2017-11,10,395.81
2017-12,10,330.0
2018-01,10,360.0
2018-02,10,301.5525
2018-03,10,321.25
2018-04,10,372.6025
2018-05,10,300.0
2018-06,10,332.5825
2018-07,10,433.3333333333333
2018-08,10,445.495
2018-09,10,320.0
2018-10,10,381.0
2018-11,10,381.0
2018-12,10,351.52
2019-01,10,550.0
2019-02,10,290.0
2019-03,10,301.66
2019-04,10,295.0
2019-05,10,335.0
2019-06,10,600.0
2019-07,10,589.995
2019-08,10,390.0
2019-09,10,345.0
2019-10,10,375.345
2019-11,10,329.99
2019-12,10,425.0
2020-01,10,425.0
2020-02,10,425.0
2020-03,10,425.0
2020-04,10,625.0
2020-05,10,1085.465
2020-06,10,2136.75
2020-07,10,2649.995
2020-08,10,1612.5
2020-09,10,3428.495
2020-10,10,6165.25
2020-11,10,3775.0
2020-12,10,3750.0
2021-01,10,3150.0
2021-02,10,4040.0
2021-03,10,3077.5
2021-04,10,2890.0
2021-05,10,2025.0
2021-06,10,2025.0
2021-07,10,5349.0
2021-08,10,3905.0
2021-09,10,3905.0
2021-10,10,4100.0
2021-11,10,4100.0
2021-12,10,4100.0
2022-01,10,4100.0
2022-02,10,4100.0
2022-03,10,4100.0
2022-04,10,4100.0
2022-05,10,4100.0
2022-06,10,4100.0
2022-07,10,4100.0
2022-08,10,4100.0
2022-09,10,4100.0
2022-10,10,4100.0
2022-11,10,4100.0
2022-12,10,4100.0
2023-01,10,4100.0
2023-02,10,4100.0
2023-03,10,4100.0
2023-04,10,2126.0
