"Date","Grade","Price","Sale Type"
2021-02-08,8,850,"Auction"
2021-02-08,6,430.6,"Auction"
2021-02-08,5,306,"Auction"
2021-02-08,9,2225,"Auction"
2021-02-08,8,830,"Auction"
2021-02-08,1,250,"Auction"
2021-02-08,6,400,"Auction"
2021-02-07,9,2025,"Auction"
2021-02-07,6,405,"Auction"
2021-02-07,5,315,"Auction"
2021-02-07,4,310,"Auction"
2021-02-07,9,1975,"Auction"
2021-02-07,4,222.5,"Auction"
2021-02-07,5,325,"Auction"
2021-02-07,7,750,"Auction"
2021-02-07,9,2200,"Auction"
2021-02-07,8,901.68,"Auction"
2021-02-01,5,315,"Auction"
2021-02-01,8,780,"Auction"
2021-02-01,9,1725,"Auction"
2021-02-01,7,609,"Auction"
2021-02-01,9,1850,"Auction"
2021-02-01,9,1825,"Auction"
2021-02-01,8,720,"Auction"
2021-02-01,9,1875,"Auction"
2021-02-01,5,305,"Auction"
2021-02-01,8,800,"Auction"
2021-02-01,8,761,"Auction"
2021-02-01,9,1825,"Auction"
2021-02-01,7,520,"Auction"
2021-02-01,8,720,"Auction"
2021-02-01,9,1775,"Auction"
2021-02-01,7,511,"Auction"
2021-02-01,8,821,"Auction"
2021-02-01,7,525,"Auction"
2021-02-01,8,737.77,"Auction"
2021-02-01,6,465,"Auction"
2021-02-01,9,1775,"Auction"
2021-02-01,1,310,"Auction"
2021-02-01,4,245.5,"Auction"
2021-02-01,9,1800,"Auction"
2021-02-01,7,543,"Auction"
2021-02-01,5,336.61,"Auction"
2021-02-01,8,699,"Auction"
2021-02-01,4,256,"Auction"
2021-02-01,8,730,"Auction"
2021-02-01,7,540,"Auction"
2021-02-01,8,725,"Auction"
2021-02-01,8,731.5,"Auction"
2021-02-01,3,247.5,"Auction"
2021-02-01,6,365,"Auction"
2021-02-01,6,350,"Auction"
2021-01-31,8,898,"Auction"
2021-01-31,9,2050,"Auction"
2021-01-31,4,265,"Auction"
2021-01-31,6,405,"Auction"
2021-01-31,8,1304.54,"Auction"
2021-01-31,8,802.38,"Auction"
2021-01-31,5,309.21,"Auction"
2021-01-31,6,316,"Auction"
2021-01-30,6,361,"Auction"
2021-01-30,8,898,"Auction"
2021-01-30,8,720,"Auction"
2021-01-30,8,790,"Auction"
2021-01-30,5,290,"Auction"
2021-01-30,8,770,"Auction"
2021-01-19,6,449,"Auction"
2021-01-19,9,1780,"Auction"
2021-01-19,3,255,"Auction"
2021-01-18,9,1852,"Auction"
2021-01-18,4,255,"Auction"
2021-01-18,9,1700,"Auction"
2021-01-18,3,235.5,"Auction"
2021-01-18,6,405,"Auction"
2021-01-18,9,1875,"Auction"
2021-01-18,9,1750,"Best Offer"
2021-01-18,6,465,"Auction"
2021-01-18,9,1650,"Best Offer"
2021-01-18,8,732,"Auction"
2021-01-18,5,207.5,"Auction"
2021-01-18,3,217.5,"Auction"
2021-01-18,9,1850,"Auction"
2021-01-18,4,529.44,"Auction"
2021-01-17,8,781,"Auction"
2021-01-17,9,1400,"Auction"
2021-01-17,8,710,"Auction"
2021-01-17,9,2025,"Auction"
2021-01-17,8,720,"Auction"
2021-01-17,8,611,"Auction"
2021-01-17,6,365,"Auction"
2021-01-17,8,760,"Auction"
2021-01-17,2,203.5,"Auction"
2021-01-17,8,710,"Auction"
2021-01-17,3,256,"Auction"
2021-01-17,6,604.63,"Auction"
2021-01-17,5,149,"Auction"
2021-01-17,8,710,"Auction"
2021-01-17,4,406,"Auction"
2021-01-17,8,710,"Auction"
2021-01-17,6,355,"Auction"
2021-01-16,7,550,"Auction"
2021-01-16,9,1415.69,"Auction"
2021-01-16,9,1575,"Auction"
2021-01-16,8,750,"Auction"
2021-01-16,6,501.76,"Auction"
2021-01-16,5,480,"Auction"
2021-01-16,4,460,"Auction"
2021-01-16,6,455,"Auction"
2021-01-16,9,1999.99,"Auction"
2021-01-15,6,415,"Auction"
2021-01-15,8,820,"Best Offer"
2021-01-15,6,425,"Auction"
2021-01-08,1,217.01,"Auction"
2021-01-08,8,864.68,"Auction"
2021-01-08,7,480,"Auction"
2021-01-07,9,1690,"Auction"
2021-01-07,7,425,"Auction"
2021-01-07,7,540.01,"Auction"
2021-01-07,4,266.5,"Auction"
2021-01-07,4,249.99,"Auction"
2021-01-07,2,217.5,"Auction"
2021-01-07,1,270,"Auction"
2021-01-07,8,1020,"Auction"
2021-01-07,8,811,"Auction"
2021-01-07,4,255,"Auction"
2021-01-07,5,294,"Auction"
2021-01-06,8,800,"Auction"
2021-01-06,5,392.59,"Auction"
2021-01-06,8,830,"Auction"
2021-01-06,7,530,"Auction"
2021-01-06,8,730,"Auction"
2021-01-05,9,1625,"Auction"
2021-01-05,9,2151.1,"Auction"
2021-01-05,9,1750,"Auction"
2021-01-05,8,787.77,"Auction"
2021-01-05,9,1675,"Auction"
2021-01-05,8,726,"Auction"
2021-01-05,8,760,"Auction"
2021-01-05,6,320,"Auction"
2021-01-05,7,620,"Auction"
2021-01-05,9,1600,"Auction"
2021-01-04,8,690,"Auction"
2021-01-04,8,825,"Best Offer"
2021-01-04,8,800,"Auction"
2021-01-04,6,425,"Auction"
2021-01-04,4,300,"Best Offer"
2021-01-04,8,720,"Auction"
2021-01-04,10,10000,"Auction"
2021-01-04,8,960,"Auction"
2021-01-04,8,1100,"Auction"
2021-01-04,6,390,"Auction"
