"Date","Grade","Price","Sale Type"
2021-07-14,9,455,"Auction"
2021-07-14,10,900,"Auction"
2021-07-14,10,895,"Auction"
2021-07-14,10,910,"Auction"
2021-07-12,9,410,"Auction"
2021-07-12,9,460,"Auction"
2021-03-08,9,600,"Auction"
2021-03-08,10,1350,"Auction"
2021-03-08,10,1300,"Auction"
2021-03-06,10,1575,"Auction"
2021-03-04,10,1725,"Auction"
2021-03-04,9,655,"Auction"
2021-03-03,9,660,"Auction"
2021-03-03,10,1450,"Auction"
2021-03-03,9,620,"Auction"
2021-03-01,9,608,"Auction"
2021-03-01,9,620,"Auction"
2021-03-01,9,622,"Auction"
2021-02-28,10,1675,"Auction"
2021-02-28,10,1551,"Auction"
2021-02-28,9,700,"Best Offer"
2021-02-28,10,1566,"Auction"
2021-02-28,10,1500,"Auction"
2021-02-28,7,445,"Auction"
2021-02-28,10,1625,"Auction"
2021-02-28,9,640,"Auction"
2021-02-28,10,1475,"Auction"
2021-02-28,10,1500,"Auction"
2021-02-28,8,526,"Auction"
2021-02-26,9,610,"Auction"
2021-02-26,9,660,"Best Offer"
2021-02-26,9,725,"Best Offer"
2021-02-24,10,1400,"Best Offer"
2021-02-24,9,640,"Best Offer"
2021-02-24,10,1525,"Auction"
2021-02-23,9,555.88,"Auction"
2021-02-23,10,1576,"Auction"
2021-02-23,9,568.35,"Auction"
2021-02-23,10,1675,"Auction"
2021-02-22,9,595,"Auction"
2021-02-22,9,675,"Best Offer"
2021-02-22,9,602.74,"Auction"
2021-02-21,10,1670.68,"Auction"
2021-02-20,9,560,"Auction"
2021-02-20,9,540,"Auction"
2021-02-19,10,1600,"Auction"
2021-02-19,10,1476,"Auction"
2021-02-19,9,700,"Best Offer"
2021-02-19,9,644,"Auction"
2021-02-18,10,1525,"Best Offer"
2021-02-18,10,1600,"Best Offer"
2021-02-17,9,650,"Auction"
2021-02-17,10,1650,"Best Offer"
2021-02-16,10,1750,"Best Offer"
2021-02-16,10,1500,"Best Offer"
2021-02-16,9,630,"Best Offer"
2021-02-16,9,595,"Auction"
2021-02-15,8,600,"Best Offer"
2021-02-14,9,640,"Auction"
2021-02-13,9,740,"Auction"
2021-02-13,9,658.88,"Auction"
2021-02-13,10,1299,"Auction"
2021-02-12,8,299,"Auction"
2021-02-12,8,575,"Best Offer"
2021-02-12,10,1380,"Best Offer"
2021-02-11,10,1600,"Best Offer"
2021-02-11,10,1380.01,"Best Offer"
2021-02-11,9,610,"Auction"
2021-02-09,10,1475,"Auction"
2021-02-09,10,1305,"Best Offer"
2021-02-09,10,1351,"Auction"
2021-02-09,9,630,"Auction"
2021-02-09,9,580,"Best Offer"
2021-02-08,10,1475,"Best Offer"
2021-02-08,10,1650,"Best Offer"
2021-02-07,10,1499.99,"Auction"
2021-02-06,9,600,"Best Offer"
2021-02-06,10,1365,"Best Offer"
2021-02-06,9,663.99,"Best Offer"
2021-02-05,9,635,"Auction"
2021-02-04,9,602.17,"Auction"
2021-02-04,9,710,"Best Offer"
2021-02-03,10,1399.99,"Best Offer"
2021-02-02,8,525,"Best Offer"
2021-02-02,10,1499.99,"Best Offer"
2021-02-01,9,645,"Auction"
2021-02-01,9,630,"Auction"
2021-02-01,10,1350,"Auction"
2021-01-31,9,575,"Auction"
2021-01-31,10,1400.66,"Auction"
2021-01-31,10,1300,"Auction"
2021-01-30,10,1376,"Auction"
2021-01-29,10,1375,"Best Offer"
2021-01-29,8,499,"Best Offer"
2021-01-28,10,1475,"Auction"
2021-01-27,9,900.73,"Best Offer"
2021-01-27,10,1300,"Best Offer"
2021-01-26,10,1400,"Auction"
2021-01-26,9,580,"Auction"
2021-01-25,9,605,"Auction"
2021-01-25,10,907,"Auction"
2021-01-24,9,580,"Best Offer"
2021-01-24,10,1400,"Best Offer"
2021-01-23,10,1425,"Auction"
2021-01-23,10,1400,"Best Offer"
2021-01-23,9,550,"Best Offer"
2021-01-22,10,1433.65,"Best Offer"
2021-01-22,9,600,"Best Offer"
2021-01-22,10,1100,"Best Offer"
2021-01-22,10,1275,"Auction"
2021-01-21,9,631,"Auction"
2021-01-20,9,590,"Best Offer"
2021-01-20,9,596,"Auction"
2021-01-20,9,1222.9,"Best Offer"
2021-01-20,9,751.5,"Best Offer"
2021-01-19,10,1100,"Best Offer"
2021-01-19,10,1249.99,"Best Offer"
2021-01-19,10,1200,"Best Offer"
2021-01-18,10,1100,"Best Offer"
2021-01-18,8,515,"Best Offer"
2021-01-18,9,599.99,"Best Offer"
2021-01-18,10,1070,"Best Offer"
2021-01-18,10,1275,"Auction"
2021-01-18,9,550,"Best Offer"
2021-01-18,10,1150,"Best Offer"
2021-01-17,10,1225,"Auction"
2021-01-17,9,530,"Auction"
2021-01-17,10,1200,"Auction"
2021-01-17,10,1198,"Best Offer"
2021-01-16,10,1149,"Best Offer"
2021-01-16,8,425,"Best Offer"
2021-01-16,10,1273.61,"Auction"
2021-01-15,9,560,"Best Offer"
2021-01-15,9,550,"Auction"
2021-01-15,10,1185,"Auction"
2021-01-14,10,1167,"Auction"
2021-01-14,9,550,"Best Offer"
2021-01-14,9,500,"Best Offer"
2021-01-14,10,1200,"Best Offer"
2021-01-12,10,1099.89,"Best Offer"
2021-01-12,10,1375,"Auction"
2021-01-12,10,1200,"Best Offer"
2021-01-12,10,1150,"Best Offer"
2021-01-12,9,590,"Auction"
2021-01-11,9,496,"Auction"
2021-01-11,10,1399.99,"Best Offer"
2021-01-11,10,1290.52,"Best Offer"
2021-01-10,10,1250,"Best Offer"
2021-01-10,10,1034,"Auction"
2021-01-10,10,1200,"Best Offer"
2021-01-10,9,490,"Auction"
2021-01-09,10,1100,"Auction"
2021-01-08,9,525,"Auction"
2021-01-08,9,590,"Auction"
2021-01-07,10,1025,"Auction"
2021-01-07,10,1070,"Best Offer"
2021-01-06,10,1200,"Auction"
2021-01-06,10,1341.09,"Best Offer"
2021-01-06,10,980,"Best Offer"
2021-01-06,9,500,"Best Offer"
2021-01-06,9,500,"Best Offer"
2021-01-05,8,370,"Best Offer"
2021-01-05,9,451.55,"Auction"
2021-01-05,10,1050,"Best Offer"
2021-01-04,10,1035,"Auction"
2021-01-03,9,575,"Best Offer"
2021-01-03,9,500,"Best Offer"
2021-01-03,10,1130,"Best Offer"
2021-01-02,10,1200,"Best Offer"
2021-01-02,8,400,"Best Offer"
2021-01-01,10,1150,"Auction"
2021-01-01,9,500,"Best Offer"
2021-01-01,9,490,"Best Offer"
2020-12-31,10,1200,"Best Offer"
2020-12-31,10,990,"Best Offer"
2020-12-31,9,529.99,"Best Offer"
2020-12-31,10,1249.99,"Best Offer"
2020-12-31,9,850,"Best Offer"
2020-12-29,10,1060,"Auction"
2020-12-29,8,385,"Auction"
2020-12-29,10,1085,"Auction"
2020-12-29,10,1175.01,"Auction"
2020-12-29,10,1076,"Auction"
2020-12-29,10,1060,"Auction"
2020-12-29,10,1091,"Auction"
2020-12-29,9,546,"Auction"
2020-12-28,10,1100,"Best Offer"
2020-12-28,9,440,"Best Offer"
2020-12-28,9,420,"Auction"
2020-12-28,9,415.99,"Auction"
2020-12-28,8,405,"Auction"
2020-12-27,10,950,"Best Offer"
2020-12-27,9,441,"Auction"
2020-12-27,10,950,"Auction"
2020-12-25,10,945,"Best Offer"
2020-12-25,9,445.5,"Auction"
2020-12-25,10,999.99,"Best Offer"
2020-12-24,9,425,"Best Offer"
2020-12-23,10,999.99,"Best Offer"
2020-12-22,9,490,"Best Offer"
2020-12-22,10,1449.99,"Auction"
2020-12-22,10,890,"Best Offer"
2020-12-21,10,870,"Auction"
2020-12-21,9,350,"Best Offer"
2020-12-21,10,975,"Best Offer"
2020-12-21,10,2000,"Best Offer"
2020-12-21,9,450,"Best Offer"
2020-12-20,10,950,"Best Offer"
2020-12-20,10,990,"Auction"
2020-12-20,10,940,"Auction"
2020-12-19,10,900,"Auction"
2020-12-18,9,464,"Best Offer"
2020-12-18,10,925,"Best Offer"
2020-12-18,9,450,"Auction"
2020-12-18,10,980,"Auction"
2020-12-17,10,870,"Auction"
2020-12-02,10,1100,"Auction"
2020-12-01,9,495,"Auction"
2020-12-01,10,910,"Auction"
2020-11-30,9,555,"Auction"
2020-11-30,9,520,"Auction"
2020-11-30,10,1053.88,"Auction"
2020-11-30,10,1025,"Auction"
2020-11-30,9,485,"Auction"
2020-11-30,9,520,"Auction"
2020-11-29,8,312.13,"Auction"
2020-11-29,9,455,"Auction"
2020-11-28,10,942,"Auction"
2020-11-28,9,475,"Auction"
2020-11-27,10,1059,"Auction"
2020-11-26,9,440,"Auction"
2020-11-25,10,1025,"Auction"
2020-11-25,8,450,"Best Offer"
2020-11-25,8,395,"Auction"
2020-11-25,10,1260,"Auction"
2020-11-24,10,1175,"Best Offer"
2020-11-24,10,1175,"Auction"
2020-11-23,10,1175,"Auction"
2020-11-23,10,1175,"Auction"
2020-11-23,8,449.99,"Best Offer"
2020-11-23,10,1175,"Auction"
2020-11-21,9,471.66,"Auction"
2020-11-21,9,480,"Auction"
2020-11-20,10,1125,"Auction"
2020-11-20,9,540,"Auction"
2020-11-20,9,500,"Best Offer"
2020-11-18,10,1200,"Auction"
2020-11-18,9,495,"Auction"
2020-11-17,9,500,"Best Offer"
2020-11-15,9,540,"Auction"
2020-11-15,9,600,"Auction"
2020-11-15,9,550,"Best Offer"
2020-11-14,10,1726,"Auction"
2020-11-14,9,620,"Best Offer"
2020-11-14,10,1211,"Auction"
2020-11-13,10,1250,"Auction"
2020-11-13,10,1200,"Best Offer"
2020-11-13,10,1200,"Auction"
2020-11-12,10,1075,"Auction"
2020-11-12,10,1336.16,"Best Offer"
2020-11-11,8,525,"Best Offer"
2020-11-11,10,1235,"Auction"
2020-11-11,9,625,"Best Offer"
2020-11-10,10,1233.62,"Auction"
2020-11-10,9,956.56,"Auction"
2020-11-10,10,1200,"Best Offer"
2020-11-09,9,690,"Best Offer"
2020-11-09,10,1275,"Auction"
2020-11-09,9,680,"Auction"
2020-11-09,9,1698.9,"Best Offer"
2020-11-08,10,1025,"Auction"
2020-11-08,10,1150,"Auction"
2020-11-07,10,1596.31,"Best Offer"
2020-11-07,9,560,"Auction"
2020-11-07,10,1425,"Auction"
2020-11-07,10,1400,"Best Offer"
2020-11-05,10,1385,"Best Offer"
2020-11-05,10,1200,"Auction"
2020-11-04,10,1434.11,"Best Offer"
2020-11-04,9,565.55,"Auction"
2020-11-03,9,660,"Best Offer"
2020-11-02,10,1380,"Best Offer"
2020-11-02,9,610,"Auction"
2020-11-02,9,620,"Auction"
2020-11-01,9,575,"Auction"
2020-10-31,10,1620,"Auction"
2020-10-31,10,1425,"Auction"
2020-10-31,10,1375,"Auction"
2020-10-31,10,1495,"Best Offer"
2020-10-30,10,1650,"Best Offer"
2020-10-30,9,600,"Auction"
2020-10-30,10,1350,"Auction"
2020-10-30,10,1650,"Best Offer"
2020-10-29,9,650,"Best Offer"
2020-10-28,10,1475,"Auction"
2020-10-28,9,660,"Best Offer"
2020-10-28,10,1500,"Best Offer"
2020-10-28,9,619.99,"Auction"
2020-10-28,10,1400,"Auction"
2020-10-28,10,1500,"Auction"
2020-10-28,10,1589.99,"Best Offer"
2020-10-27,10,1325,"Auction"
2020-10-27,9,600,"Auction"
2020-10-27,10,1325,"Auction"
2020-10-27,9,580,"Auction"
2020-10-26,10,1600,"Auction"
2020-10-26,10,1210,"Auction"
2020-10-25,9,749.99,"Best Offer"
2020-10-25,9,650,"Auction"
2020-10-25,10,1599.99,"Best Offer"
