"Date","Grade","Price","Sale Type"
2021-01-16,10,640,"Auction"
2021-01-16,10,631,"Auction"
2021-01-16,9,455,"Auction"
2021-01-16,9,560,"Auction"
2021-01-16,10,670,"Auction"
2021-01-16,10,707,"Auction"
2021-01-16,10,770,"Auction"
2021-01-15,10,630,"Auction"
2021-01-15,10,680,"Auction"
2021-01-14,10,640.1,"Auction"
2021-01-14,10,715.99,"Auction"
2021-01-14,10,640,"Auction"
2021-01-14,9,335,"Auction"
2021-01-14,10,611,"Auction"
2021-01-13,10,690.1,"Auction"
2021-01-13,10,690.1,"Auction"
2021-01-13,10,600,"Best Offer"
2021-01-13,10,690,"Auction"
2021-01-13,10,731,"Auction"
2021-01-13,9,315,"Auction"
2021-01-13,10,680,"Auction"
2021-01-12,10,742.01,"Auction"
2021-01-12,10,650,"Auction"
2021-01-12,9,525.33,"Best Offer"
2021-01-12,10,650,"Best Offer"
2021-01-12,10,707,"Auction"
2021-01-12,10,695,"Auction"
2021-01-12,9,325,"Auction"
2021-01-12,9,350,"Best Offer"
2021-01-11,9,290,"Auction"
2021-01-11,10,780,"Auction"
2021-01-11,10,690,"Best Offer"
2021-01-11,10,720,"Auction"
2021-01-11,10,530,"Auction"
2021-01-11,8,285,"Auction"
2021-01-09,10,579,"Auction"
2021-01-09,10,660,"Auction"
2021-01-08,9,380,"Auction"
2021-01-08,10,760,"Auction"
2021-01-08,9,456,"Auction"
2021-01-08,10,705,"Auction"
2021-01-08,10,730,"Auction"
2021-01-08,10,660,"Auction"
2021-01-07,10,885,"Auction"
2021-01-06,10,730,"Auction"
2021-01-06,9,380,"Auction"
2021-01-06,10,710,"Auction"
2021-01-05,10,799.99,"Best Offer"
2021-01-05,10,709,"Auction"
2021-01-05,10,710,"Auction"
2021-01-05,10,678,"Auction"
2021-01-05,10,688.9,"Auction"
2021-01-04,10,680,"Auction"
2021-01-04,10,660,"Auction"
2021-01-04,10,720,"Auction"
2021-01-04,9,375,"Auction"
2021-01-04,10,799,"Auction"
2021-01-04,10,621.98,"Auction"
2021-01-04,10,665,"Auction"
2021-01-04,10,700,"Auction"
2021-01-04,10,715.07,"Auction"
2021-01-04,10,681,"Auction"
2021-01-04,10,650,"Best Offer"
2021-01-03,10,685,"Auction"
2021-01-03,10,700,"Auction"
2021-01-03,8,305,"Auction"
2021-01-03,9,430,"Auction"
2021-01-02,10,610,"Auction"
2021-01-01,10,640,"Auction"
2021-01-01,10,700,"Best Offer"
2021-01-01,10,700,"Auction"
2021-01-01,10,698.59,"Auction"
2021-01-01,10,400,"Auction"
2021-01-01,10,620,"Auction"
2021-01-01,10,660,"Auction"
2020-12-31,10,730,"Best Offer"
